created_at,text
Tue Oct 09 14:18:47 +0000 2018,Big announcement with my friend Ambassador Nikki Haley in the Oval Office at 10:30am.
Tue Oct 09 13:23:21 +0000 2018,RT @realDonaldTrump: https://t.co/4ySIkmfllE
Tue Oct 09 13:10:01 +0000 2018,"Will be going to Iowa tonight for Rally, and more! The Farmers (and all) are very happy with USMCA!"
Tue Oct 09 12:37:55 +0000 2018,Great evening last night at the White House honoring Justice Kavanaugh and family. Our country is very proud of them!
Tue Oct 09 12:32:46 +0000 2018,"The paid D.C. protesters are now ready to REALLY protest because they haven’t gotten their checks - in other words,… https://t.co/3es06u6W6e"
Tue Oct 09 12:19:53 +0000 2018,"RT @NWSTallahassee: 8am Intermediate Advisory from @NHC_Atlantic upgrades #HurricaneMichael into a category 2 hurricane. Keep in mind, wind…"
Tue Oct 09 12:18:39 +0000 2018,"RT @fema: ⚠️If you're told to evacuate for Hurricane #Michael, don't delay. Leave as soon as possible. 

Listen to @FLSERT and local offici…"
Tue Oct 09 01:34:56 +0000 2018,https://t.co/4ySIkmfllE
Mon Oct 08 23:43:34 +0000 2018,https://t.co/k2bOxapRtR
Mon Oct 08 19:44:49 +0000 2018,Great to see @AGPamBondi launch a cutting-edge statewide school safety APP in Florida today - named by Parkland Sur… https://t.co/4PBXblZ0JW
Mon Oct 08 19:37:36 +0000 2018,"Every day, our police officers race into darkened allies, deserted streets, &amp; onto the doorsteps of the most harden… https://t.co/oaai3FVg0o"
Mon Oct 08 19:27:41 +0000 2018,We thank you. We salute you. We honor you. And we promise you: we will ALWAYS have your BACK – now and FOREVER!… https://t.co/RnvDOTLvu8
Mon Oct 08 18:57:07 +0000 2018,America’s police officers have earned the everlasting gratitude of our Nation. In moments of danger &amp; despair you a… https://t.co/movE69yT0F
Mon Oct 08 18:32:51 +0000 2018,"It was my great honor to address the International Association of Chiefs of Police Annual Convention in Orlando, Fl… https://t.co/FjZmjHo9CT"
Mon Oct 08 15:31:51 +0000 2018,"Departing Washington, D.C. for the International Association of Chiefs of Police Annual Convention in Orlando, Flor… https://t.co/HNDU0DuCnA"
Mon Oct 08 13:36:11 +0000 2018,Christopher Columbus’s spirit of determination &amp; adventure has provided inspiration to generations of Americans. On… https://t.co/tIXXwhxDci
Sun Oct 07 18:15:22 +0000 2018,RT @FLOTUS: Thank you Kenya 🇰🇪 🇺🇸 https://t.co/JrHncob8Qp
Sun Oct 07 14:42:25 +0000 2018,.@SecPompeo had a good meeting with Chairman Kim today in Pyongyang. Progress made on Singapore Summit Agreements!… https://t.co/kzwV5wAVSq
Sun Oct 07 01:21:22 +0000 2018,"You don’t hand matches to an arsonist, and you don’t give power to an angry left-wing mob. Democrats have become to… https://t.co/VB23FlFvOT"
Sun Oct 07 01:15:00 +0000 2018,"Beautiful evening in Topeka, Kansas. VOTE, VOTE, VOTE! #MAGA https://t.co/bomRqsaYfm"
Sun Oct 07 00:49:56 +0000 2018,"Thank you Kansas - I love you! 
https://t.co/ymCFNr9WQY"
Sat Oct 06 21:57:09 +0000 2018,"The crowd in front of the U.S. Supreme Court is tiny, looks like about 200 people (&amp; most are onlookers) - that wou… https://t.co/K0175DLRAK"
Sat Oct 06 20:15:30 +0000 2018,"I applaud and congratulate the U.S. Senate for confirming our GREAT NOMINEE, Judge Brett Kavanaugh, to the United S… https://t.co/573HIDggVn"
Sat Oct 06 20:06:01 +0000 2018,"I have asked Steve Daines, our great Republican Senator from Montana, to attend his daughter Annie’s wedding rather… https://t.co/3cvHEGT5QS"
Sat Oct 06 16:08:57 +0000 2018,"Women for Kavanaugh, and many others who support this very good man, are gathering all over Capitol Hill in prepara… https://t.co/lrE7vMwl8k"
Sat Oct 06 03:46:07 +0000 2018,"RT @realDonaldTrump: Thank you Minnesota - I love you!
https://t.co/eQC2NqdIil"
Fri Oct 05 21:29:54 +0000 2018,RT @FLOTUS: Thank you Malawi! 🇺🇸 🇲🇼 https://t.co/rE03LMNzOZ
Fri Oct 05 21:29:49 +0000 2018,RT @FLOTUS: Thank you Ghana! 🇺🇸 🇬🇭 https://t.co/d34cqFyRdN
Fri Oct 05 14:59:41 +0000 2018,Very proud of the U.S. Senate for voting “YES” to advance the nomination of Judge Brett Kavanaugh!
Fri Oct 05 13:06:08 +0000 2018,Just out: 3.7% Unemployment is the lowest number since 1969!
Fri Oct 05 13:03:06 +0000 2018,The very rude elevator screamers are paid professionals only looking to make Senators look bad. Don’t fall for it!… https://t.co/2In7zzWHoS
Fri Oct 05 11:28:02 +0000 2018,"RT @newsobserver: Presidential adviser and daughter @IvankaTrump will make 3 stops in NC to see hurricane relief efforts, thank first respo…"
Fri Oct 05 11:25:42 +0000 2018,"RT @Scavino45: 🚨Happening Now | 2:08amE; Our great @FLOTUS, Melania Trump...visiting a Kenyan elephant orphanage...https://t.co/rW2cWXaswf"
Fri Oct 05 01:03:25 +0000 2018,"Beautiful evening in Rochester, Minnesota. VOTE, VOTE, VOTE! https://t.co/SyxrxvTpZE"
Fri Oct 05 00:52:20 +0000 2018,"Thank you Minnesota - I love you!
https://t.co/eQC2NqdIil"
Thu Oct 04 22:58:21 +0000 2018,Just made my second stop in Minnesota for a MAKE AMERICA GREAT AGAIN rally. We need to elect @KarinHousley to the U… https://t.co/rOGv3fAwzV
Thu Oct 04 22:17:48 +0000 2018,Congressman Bishop is doing a GREAT job! He helped pass tax reform which lowered taxes for EVERYONE! Nancy Pelosi i… https://t.co/g6kT6INueQ
Thu Oct 04 19:29:27 +0000 2018,“U.S. Stocks Widen Global Lead” https://t.co/Snhv08ulcO
Thu Oct 04 19:17:28 +0000 2018,Statement on National Strategy for Counterterrorism: https://t.co/ajFBg9Elsj https://t.co/Qr56ycjMAV
Thu Oct 04 17:38:08 +0000 2018,"Working hard, thank you! https://t.co/6HQVaEXH0I"
Thu Oct 04 14:17:01 +0000 2018,"This is now the 7th. time the FBI has investigated Judge Kavanaugh. If we made it 100, it would still not be good e… https://t.co/RnF7pKPVyZ"
Thu Oct 04 14:01:13 +0000 2018,"RT @ChatByCC: While armed with the power of our Vote, we proudly &amp; peacefully revolted

Never doubt this was an American revolution

#MAGA…"
Thu Oct 04 13:54:58 +0000 2018,"This is a very important time in our country. Due Process, Fairness and Common Sense are now on trial!"
Thu Oct 04 13:34:16 +0000 2018,"Our country’s great First Lady, Melania, is doing really well in Africa. The people love her, and she loves them! I… https://t.co/YkcuOHtrDW"
Thu Oct 04 12:16:41 +0000 2018,The harsh and unfair treatment of Judge Brett Kavanaugh is having an incredible upward impact on voters. The PEOPLE… https://t.co/tz7uynzT5p
Thu Oct 04 02:23:11 +0000 2018,"Wow, such enthusiasm and energy for Judge Brett Kavanaugh. Look at the Energy, look at the Polls. Something very bi… https://t.co/62VvhKHKXu"
Thu Oct 04 00:01:09 +0000 2018,"My thoughts and prayers are with the Florence County Sheriff’s Office and the Florence Police Department tonight, i… https://t.co/CX6358MmOs"
Wed Oct 03 14:35:48 +0000 2018,"Just spoke to President-Elect Andres Manuel Lopez Obrador of Mexico. Great call, we will work well together!"
Wed Oct 03 14:29:25 +0000 2018,I see it each time I go out to Rallies in order to help some of our great Republican candidates. VOTERS ARE REALLY… https://t.co/chRkQ8hVvt
Wed Oct 03 14:13:42 +0000 2018,"Mexico, Canada and the United States are a great partnership and will be a very formidable trading force. We will n… https://t.co/7dnrquzER9"
Wed Oct 03 14:05:28 +0000 2018,"Blowout numbers on New Jobs and, separately, Services. Market up!"
Wed Oct 03 14:02:10 +0000 2018,Thank you to Congressman Tom Reed of New York for your wonderful comments on our great new Trade Deal with Mexico a… https://t.co/tuwwT7t11a
Wed Oct 03 13:23:34 +0000 2018,Thank you Governor Phil Bryant - it was my great honor to be there! #MAGA https://t.co/UbY7Qu2fMt
Wed Oct 03 13:16:08 +0000 2018,https://t.co/w04sqlMIYm
Wed Oct 03 13:04:02 +0000 2018,"The Stock Market just reached an All-Time High during my Administration for the 102nd Time, a presidential record,… https://t.co/eVO3pSBlLU"
Wed Oct 03 12:53:35 +0000 2018,The Failing New York Times did something I have never seen done before. They used the concept of “time value of mon… https://t.co/OaNSM7we21
Wed Oct 03 12:35:52 +0000 2018,"Congressman @PeteSessions of Texas is a true fighter and patriot. Highly respected in D.C. by all, he always gets w… https://t.co/8eQEIFxyEk"
Wed Oct 03 03:56:24 +0000 2018,"RT @DHSgov: REMINDER: Tomorrow, 10/3 at 2:18 PM EDT, there will be a nationwide test of the Wireless Emergency Alert system, in coordinatio…"
Wed Oct 03 02:58:22 +0000 2018,"Thank you Mississippi - Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/npnRirjcFG"
Wed Oct 03 02:18:03 +0000 2018,"Today, my Administration provided HISTORIC levels of funding to improve school safety through STOP School Violence… https://t.co/oON7wPgrfA"
Wed Oct 03 02:15:03 +0000 2018,"“National wage growth is at the highest it’s been in nearly 17 months -- and, according to a new study released by… https://t.co/gpwphLJ17a"
Wed Oct 03 01:25:33 +0000 2018,GOD BLESS THE U.S.A.! #MAGA🇺🇸 https://t.co/pquqyy5S3G
Wed Oct 03 01:18:08 +0000 2018,Thank you Mississippi - I love you! https://t.co/eH6x1NBNQG
Tue Oct 02 21:20:05 +0000 2018,This is really an incredible time for our Nation - WE are RESPECTED AGAIN! https://t.co/94KusYcDAj
Tue Oct 02 21:17:08 +0000 2018,"RT @WhiteHouse: “America will always be a nation of great builders, because in America, we honor work, we honor grit, we honor craftsmanshi…"
Tue Oct 02 18:18:35 +0000 2018,“USMCA Wins Praise as a Victory for American Industries and Workers”➡️https://t.co/UWhPhNXiiL https://t.co/eBVv0nXXRT
Tue Oct 02 17:22:36 +0000 2018,Proud of our great First Lady - and she loves doing this! https://t.co/VD7wlqeJoR
Tue Oct 02 16:18:58 +0000 2018,"Yesterday, it was my great honor to present the Medal of Honor to Ronald J. Shurer II, for his actions on April 6,… https://t.co/syiAXrSbzA"
Tue Oct 02 16:08:25 +0000 2018,THE ONLY REASON TO VOTE FOR A DEMOCRAT IS IF YOU’RE TIRED OF WINNING!
Tue Oct 02 15:02:03 +0000 2018,Great reviews on the new USMCA. Thank you! Mexico and Canada will be wonderful partners in Trade (and more) long into the future.
Tue Oct 02 14:52:52 +0000 2018,"Happy 7th birthday to Tristan, a very special member of the Trump family!"
Tue Oct 02 00:50:23 +0000 2018,WOW - THANK YOU TENNESSEE! https://t.co/38UUDqfIz5
Tue Oct 02 00:37:49 +0000 2018,Thank you Tennessee - I love you! https://t.co/1swpoY7F5x
Tue Oct 02 00:25:44 +0000 2018,https://t.co/5UmYGFLyLK
Mon Oct 01 12:08:26 +0000 2018,News conference on the USMCA this morning at 11:00 - Rose Garden of White House.
Mon Oct 01 10:56:22 +0000 2018,Congratulations to Mexico and Canada!
Mon Oct 01 10:53:28 +0000 2018,"....deficiencies and mistakes in NAFTA, greatly opens markets to our Farmers and Manufacturers, reduces Trade Barri… https://t.co/2dzTdvz0gQ"
Mon Oct 01 10:30:08 +0000 2018,"Late last night, our deadline, we reached a wonderful new Trade Deal with Canada, to be added into the deal already… https://t.co/Dwe2KWvqgn"
Sun Sep 30 18:56:27 +0000 2018,"Wow! Just starting to hear the Democrats, who are only thinking Obstruct and Delay, are starting to put out the wor… https://t.co/9irOa5ox2R"
Sun Sep 30 17:47:03 +0000 2018,"So if African-American unemployment is now at the lowest number in history, median income the highest, and you then… https://t.co/HNyxfnk6ar"
Sun Sep 30 16:57:45 +0000 2018,"Like many, I don’t watch Saturday Night Live (even though I past hosted it) - no longer funny, no talent or charm.… https://t.co/oaM3Pq6Gmy"
Sun Sep 30 02:49:55 +0000 2018,"NBC News incorrectly reported (as usual) that I was limiting the FBI investigation of Judge Kavanaugh, and witnesse… https://t.co/lhsF1IAabe"
Sun Sep 30 00:52:25 +0000 2018,Thank you West Virginia - I love you! https://t.co/Ou2umCfKp9
Sun Sep 30 00:51:22 +0000 2018,https://t.co/BxlF4grr9k
Sat Sep 29 20:36:43 +0000 2018,"Heading to West Virginia now. Big Rally. Will be live on @FoxNews tonight. Long lines, but will be great!"
Sat Sep 29 20:33:51 +0000 2018,"Senator Richard Blumenthal must talk about his fraudulent service in Vietnam, where for 12 years he told the people… https://t.co/EAw5lZrDLJ"
Sat Sep 29 00:27:17 +0000 2018,"Just started, tonight, our 7th FBI investigation of Judge Brett Kavanaugh. He will someday be recognized as a truly… https://t.co/ORrMcJynvp"
Thu Sep 27 22:46:17 +0000 2018,"Judge Kavanaugh showed America exactly why I nominated him. His testimony was powerful, honest, and riveting. Democ… https://t.co/RYPP0I2x7P"
Wed Sep 26 23:52:51 +0000 2018,https://t.co/9o5gZlJiTd
Wed Sep 26 20:48:12 +0000 2018,"Join me this Saturday in Wheeling, West Virginia at 7pmE! Tickets: https://t.co/JyRaBps0eR https://t.co/hiruLIxa7w"
Wed Sep 26 20:47:16 +0000 2018,RT @WhiteHouse: President Trump and Prime Minister Theresa May met for a bilateral meeting in New York 🇺🇸 🇬🇧 https://t.co/VdJztUmD9T
Wed Sep 26 19:23:07 +0000 2018,"RT @WhiteHouse: This afternoon, President Trump participated in a bilateral meeting with Prime Minister Abe. 🇺🇸🇯🇵 https://t.co/PvSINQY7yq"
Wed Sep 26 19:23:03 +0000 2018,"RT @WhiteHouse: Earlier today, President Trump participated in a bilateral meeting with Prime Minister @netanyahu of Israel. 🇺🇸🇮🇱 https://t…"
Wed Sep 26 17:34:34 +0000 2018,"Congressman Lee Zeldin is doing a fantastic job in D.C. Tough and smart, he loves our Country and will always be th… https://t.co/B550BLwWtQ"
Wed Sep 26 17:31:40 +0000 2018,RT @PeteHegseth: This @realDonaldTrump speech to the #UNGA should be required viewing in American high schools. A beautiful articulation of…
Wed Sep 26 17:28:54 +0000 2018,"RT @newtgingrich: President Trump’s United Nations speech today is a remarkable outline of the power of patriotism, the importance of natio…"
Wed Sep 26 17:26:54 +0000 2018,"China is actually placing propaganda ads in the Des Moines Register and other papers, made to look like news. That’… https://t.co/pgamEgZq1x"
Wed Sep 26 16:47:06 +0000 2018,"Avenatti is a third rate lawyer who is good at making false accusations, like he did on me and like he is now doing… https://t.co/w6Medqx5FF"
Wed Sep 26 10:57:30 +0000 2018,Jobless Claims fell to their lowest level in 49 years!
Wed Sep 26 10:54:59 +0000 2018,"Consumer confidence hits an 18 year high, close to breaking the all-time record. A big jump from last 8 years. Peop… https://t.co/ftDZQ7LWuu"
Wed Sep 26 02:55:20 +0000 2018,The Democrats are playing a high level CON GAME in their vicious effort to destroy a fine person. It is called the… https://t.co/4Ma9JxNdi1
Wed Sep 26 02:38:54 +0000 2018,“These law enforcement people took the law into their own hands when it came to President Trump.” @LindseyGrahamSC
Tue Sep 25 22:06:33 +0000 2018,73rd Session of the United Nations General Assembly #UNGA https://t.co/xJyx7RrH5F
Tue Sep 25 20:27:25 +0000 2018,"“Consumer confidence rose in September, notching its highest level in about 18 years. The Consumer Board's index ro… https://t.co/YwjGz4Yu1Z"
Tue Sep 25 19:28:26 +0000 2018,“Remarks by President Trump at a Luncheon Hosted by the Secretary-General of the United Nations”… https://t.co/0WT3MdNMDi
Tue Sep 25 17:19:44 +0000 2018,“Remarks by President Trump to the 73rd Session of the United Nations General Assembly” ➡️https://t.co/Oshhko61zY https://t.co/Fm8LSse417
Tue Sep 25 16:45:36 +0000 2018,Rush Limbaugh to Republicans: “You can kiss the MIDTERMS goodbye if you don’t get highly qualified Kavanaugh approved.”
Tue Sep 25 16:37:43 +0000 2018,Thank you Dr. Jeffress! https://t.co/cm7NjQh0ti
Tue Sep 25 16:36:02 +0000 2018,Thank you Mark! https://t.co/NVGs6WbQe2
Tue Sep 25 15:27:35 +0000 2018,https://t.co/h43dehf0WV
Tue Sep 25 13:14:04 +0000 2018,Will be speaking at the United Nations this morning. Our country is much stronger and much richer than it was when… https://t.co/fCqzut4mRR
